slug,scientific_name,common_name,genus,family
abies-alba,Abies alba,Christmastree,Abies,Pinaceae
abies-balsamea,Abies balsamea,Canada balsam,Abies,Pinaceae
abrus-precatorius,Abrus precatorius,Indian-licorice,Abrus,Fabaceae
abutilon-indicum,Abutilon indicum,Indian abutilon,Abutilon,Malvaceae
acanthus-mollis,Acanthus mollis,Bear's-breeches,Acanthus,Acanthaceae
acer-campestre,Acer campestre,Field maple,Acer,Sapindaceae
acer-platanoides,Acer platanoides,Norway maple,Acer,Sapindaceae
acer-pseudoplatanus,Acer pseudoplatanus,Sycamore maple,Acer,Sapindaceae
achillea-millefolium,Achillea millefolium,Milfoil,Achillea,Asteraceae
achillea-ptarmica,Achillea ptarmica,Sneezeweed,Achillea,Asteraceae
achyranthes-bidentata,Achyranthes bidentata,Nui xi,Achyranthes,Amaranthaceae
aconitum-napellus,Aconitum napellus,Turk's-cap,Aconitum,Ranunculaceae
acorus-calamus,Acorus calamus,Calamus,Acorus,Acoraceae
adiantum-capillus-veneris,Adiantum capillus-veneris,Maidenhair fern,Adiantum,Pteridaceae
adonis-vernalis,Adonis vernalis,Spring adonis,Adonis,Ranunculaceae
aegle-marmelos,Aegle marmelos,Bila,Aegle,Rutaceae
aegopodium-podagraria,Aegopodium podagraria,Ashweed,Aegopodium,Apiaceae
aesculus-hippocastanum,Aesculus hippocastanum,Horse-chestnut,Aesculus,Sapindaceae
agastache-rugosa,Agastache rugosa,Chinese giant-hyssop,Agastache,Lamiaceae
agave-americana,Agave americana,American agave,Agave,Asparagaceae
agrimonia-eupatoria,Agrimonia eupatoria,Agrimony,Agrimonia,Rosaceae
agrostis-canina,Agrostis canina,Velvet bent,Agrostis,Poaceae
agrostis-capillaris,Agrostis capillaris,New zealand bent grass,Agrostis,Poaceae
agrostis-stolonifera,Agrostis stolonifera,Spreading bent,Agrostis,Poaceae
ailanthus-altissima,Ailanthus altissima,Varnishtree,Ailanthus,Simaroubaceae
ajuga-reptans,Ajuga reptans,Ajuga,Ajuga,Lamiaceae
alchemilla-vulgaris,Alchemilla vulgaris,,Alchemilla,Rosaceae
aletris-farinosa,Aletris farinosa,Agueroot,Aletris,Nartheciaceae
alisma-plantago-aquatica,Alisma plantago-aquatica,Water-plantain,Alisma,Alismataceae
alliaria-petiolata,Alliaria petiolata,Garlic mustard,Alliaria,Brassicaceae
