entity|continent|state
achillea-millefolium| North America | Alaska
achillea-millefolium| North America | Canada
achillea-millefolium| North America | Greenland
achillea-millefolium| North America | United States
achillea-millefolium| North America | Mexico                                                                 
achillea-millefolium| Europe       | Albania
achillea-millefolium| Europe       | Andorra
achillea-millefolium| Europe       | Austria
achillea-millefolium| Europe       | Belarus
achillea-millefolium| Europe       | Belgium
achillea-millefolium| Europe       | Bosnia and Herzegovina
achillea-millefolium| Europe       | Bulgaria
achillea-millefolium| Europe       | Croatia
achillea-millefolium| Europe       | Cyprus
achillea-millefolium| Europe       | Czech Republic
achillea-millefolium| Europe       | Denmark
achillea-millefolium| Europe       | Estonia
achillea-millefolium| Europe       | Finland
achillea-millefolium| Europe       | France
achillea-millefolium| Europe       | Germany
achillea-millefolium| Europe       | Greece
achillea-millefolium| Europe       | Hungary
achillea-millefolium| Europe       | Iceland
achillea-millefolium| Europe       | Ireland
achillea-millefolium| Europe       | Italy
achillea-millefolium| Europe       | Latvia
achillea-millefolium| Europe       | Liechtenstein
achillea-millefolium| Europe       | Lithuania
achillea-millefolium| Europe       | Luxembourg
achillea-millefolium| Europe       | Malta
achillea-millefolium| Europe       | Moldova
achillea-millefolium| Europe       | Montenegro
achillea-millefolium| Europe       | Netherlands
achillea-millefolium| Europe       | North Macedonia
achillea-millefolium| Europe       | Norway
achillea-millefolium| Europe       | Poland
achillea-millefolium| Europe       | Portugal
achillea-millefolium| Europe       | Romania
achillea-millefolium| Europe       | Russia
achillea-millefolium| Europe       | Serbia
achillea-millefolium| Europe       | Slovakia
achillea-millefolium| Europe       | Slovenia
achillea-millefolium| Europe       | Spain
achillea-millefolium| Europe       | Sweden
achillea-millefolium| Europe       | Switzerland
achillea-millefolium| Europe       | Ukraine
achillea-millefolium| Europe       | United Kingdom 
achillea-millefolium| Asia         | Armenia
achillea-millefolium| Asia         | Azerbaijan
achillea-millefolium| Asia         | China
achillea-millefolium| Asia         | Georgia
achillea-millefolium| Asia         | India
achillea-millefolium| Asia         | Iran
achillea-millefolium| Asia         | Iraq
achillea-millefolium| Asia         | Israel
achillea-millefolium| Asia         | Jordan
achillea-millefolium| Asia         | Kazakhstan
achillea-millefolium| Asia         | Kyrgyzstan
achillea-millefolium| Asia         | Lebanon
achillea-millefolium| Asia         | Mongolia
achillea-millefolium| Asia         | Nepal
achillea-millefolium| Asia         | Pakistan
achillea-millefolium| Asia         | Saudi Arabia
achillea-millefolium| Asia         | Syria
achillea-millefolium| Asia         | Tajikistan
achillea-millefolium| Asia         | Turkey
achillea-millefolium| Asia         | Turkmenistan
achillea-millefolium| Asia         | Uzbekistan  
achillea-millefolium| Africa       | Algeria
achillea-millefolium| Africa       | Libya
achillea-millefolium| Africa       | Morocco
achillea-millefolium| Africa       | Tunisia                                                                                   
