| Characteristic             | Description                                            |
|---------------------------|--------------------------------------------------------|
| Inflorescence Type        | Umbel (flat-topped cluster)                            |
| Flower Complexity         | Simple (individual flowers)                           |
| Flower Symmetry           | Actinomorphic (radially symmetric)                     |
| Flower Structure          | Six tepals, stamen, pistil                             |
| Flower Attachment         | Pedicels attached to the umbel                         |
| Flower Shape              | Funnel-shaped                                          |
| Flower Length             | Approximately 5-6 mm (0.2-0.24 inches)                |
| Flower Width              | Approximately 4-5 mm (0.16-0.2 inches)                |
| Flower Color              | White to pale purple                                  |
