| Characteristic         | Description                                     |
|------------------------|-------------------------------------------------|
| Leaf Complexity        | Simple                                          |
| Leaf Shape             | Linear, Lanceolate (15-40 cm long, 1-3 cm wide) |
| Leaf Arrangement       | Basal Rosette                                   |
| Leaf Orientation       | Erect                                           |
| Leaf Length            | 15-40 cm (5.9-15.7 inches)                    |
| Leaf Width             | 1-3 cm (0.4-1.2 inches)                        |
| Leaf Thickness         | 0.2-0.4 mm (0.008-0.016 inches)               |
| Leaf Color             | Green                                           |
| Leaf Texture           | Smooth, Slightly Waxy                          |
| Leaf Surface           | Glabrous (Hairless)                            |
| Leaf Apex              | Acuminate (Tapering to a sharp point)         |
| Leaf Base              | Sheathing, Wrap around stem                   |
| Leaf Margin            | Entire (Smooth)                                |
| Leaf Venation          | Parallel Veins                                 |
| Leaf Lamina            | Simple                                          |
| Leaf Midrib           | Prominent Midrib                               |
| Leaf Attachment        | Sessile (No petiole, attached directly)        |
