achillea-millefolium|Can cause allergic reactions
achillea-millefolium|Induce dizziness and nausea
achillea-millefolium|May lead to vomiting and diarrhea
achillea-millefolium|Might result in skin irritation or itching
achillea-millefolium|Potentially affect blood pressure
achillea-millefolium|Could cause liver damage over time
achillea-millefolium|Can interact with certain medications
achillea-millefolium|Possibly affect pregnancy and fertility
achillea-millefolium|May increase the risk of bleeding
achillea-millefolium|Might negatively impact the immune system
acorus-calamus|Causes drowsiness
acorus-calamus|Dampens thinking capacity
acorus-calamus|Induces hallucinations
acorus-calamus|Damages the liver
acorus-calamus|Disturbs digestion
acorus-calamus|Affects eyesight negatively
acorus-calamus|Makes skin sensitive to light
acorus-calamus|Promotes unhealthy weight gain
acorus-calamus|Lowers blood sugar levels
acorus-calamus|Impacts fertility
aesculus-hippocastanum|Causes allergic reactions
aesculus-hippocastanum|May lead to heart problems
aesculus-hippocastanum|Affects blood pressure
aesculus-hippocastanum|Triggers nausea and vomiting
aesculus-hippocastanum|Leads to gastrointestinal issues
aesculus-hippocastanum|Can cause headaches and migraines
aesculus-hippocastanum|Might result in skin irritation
aesculus-hippocastanum|Induces drowsiness and lethargy
aesculus-hippocastanum|May cause seizures
aesculus-hippocastanum|Could lead to dermatitis
allium-sativum|Stinky breath
allium-sativum|Allergic reactions
allium-sativum|Indigestion
allium-sativum|Lowered blood pressure
allium-sativum|Skin irritation
allium-sativum|Increased risk of bleeding
allium-sativum|May cause heartburn
allium-sativum|May worsen acid reflux
allium-sativum|Can trigger migraines
allium-sativum|Potential drug interactions
aloe-vera|Burns skin
aloe-vera|Causes rashes
aloe-vera|Induces allergic reactions
aloe-vera|May cause stomach issues
aloe-vera|Might worsen diabetes
aloe-vera|Potentially impacts heart rate
aloe-vera|Reduces blood sugar levels
aloe-vera|Interferes with medication
aloe-vera|Triggers acid reflux
aloe-vera|Lowers immunity
alpinia-officinarum|Causes skin irritation
alpinia-officinarum|Affects blood pressure
alpinia-officinarum|May cause allergic reactions
alpinia-officinarum|Leads to indigestion issues
alpinia-officinarum|Impacts hormone levels
alpinia-officinarum|Promotes bloating and gas
alpinia-officinarum|Triggers joint inflammation
alpinia-officinarum|Increases risk of bleeding
alpinia-officinarum|Potentially harmful for pregnant women
alpinia-officinarum|Might interact with medications
ammi-visnaga|Causes skin irritation
ammi-visnaga|Worsens asthma
ammi-visnaga|Triggers allergic reactions
ammi-visnaga|May cause breathing problems
ammi-visnaga|Lowers blood pressure
ammi-visnaga|Stimulates uterine contractions
ammi-visnaga|Impacts vision negatively
ammi-visnaga|Disrupts sleep patterns
ammi-visnaga|Creates digestive issues
ammi-visnaga|Affects reproductive system
angelica-sinensis|Affect hormones
angelica-sinensis|Can cause miscarriage
angelica-sinensis|May increase bleeding
angelica-sinensis|Lower blood pressure
angelica-sinensis|Stimulate uterine contractions
angelica-sinensis|Interact with prescription drugs
angelica-sinensis|Can lead to convulsions or comas
angelica-sinensis|May worsen existing conditions
angelica-sinensis|Potentially damage the liver
angelica-sinensis|Impact fertility
apium-graveolens|Disrupts digestion
apium-graveolens|Causes bloating
apium-graveolens|Contributes to allergy symptoms
apium-graveolens|May cause headaches
apium-graveolens|Can lower blood pressure
apium-graveolens|Reduces nutrient absorption
apium-graveolens|Potentially worsens asthma
apium-graveolens|Influences thyroid issues
apium-graveolens|Increases sensitivity to medicines
apium-graveolens|Might lead to kidney stones
arctium-lappa|May irritate skin
arctium-lappa|Can cause allergies
arctium-lappa|Could worsen eczema
arctium-lappa|Might cause diarrhea
arctium-lappa|May lead to vomiting
arctium-lappa|Could make seizures worse
arctium-lappa|May interfere with pregnancy
arctium-lappa|Could slow blood clotting
arctium-lappa|Possibly lower blood sugar
arctium-lappa|Can impact liver function
artemisia-absinthium|Damage brain cells
artemisia-absinthium|Cause hallucinations
artemisia-absinthium|Harm liver
artemisia-absinthium|Dangerous to kidneys
artemisia-absinthium|Induce seizures
artemisia-absinthium|Stunt growth
